,Date,TransitApp-NYC,TransitApp-NYC_p
690,2020-07-24,-55,-55%
691,2020-07-23,-53,-53%
692,2020-07-22,-53,-53%
693,2020-07-21,-51,-51%
694,2020-07-20,-51,-51%
695,2020-07-19,-44,-44%
696,2020-07-18,-49,-49%
697,2020-07-17,-55,-55%
698,2020-07-16,-52,-52%
699,2020-07-15,-54,-54%
700,2020-07-14,-52,-52%
701,2020-07-13,-51,-51%
702,2020-07-12,-46,-46%
703,2020-07-11,-56,-56%
704,2020-07-10,-59,-59%
705,2020-07-09,-46,-46%
706,2020-07-08,-56,-56%
707,2020-07-07,-57,-57%
708,2020-07-06,-54,-54%
709,2020-07-05,-50,-50%
710,2020-07-04,-58,-58%
711,2020-07-03,-49,-49%
712,2020-07-02,-49,-49%
713,2020-07-01,-60,-60%
714,2020-06-30,-56,-56%
715,2020-06-29,-53,-53%
716,2020-06-28,-53,-53%
717,2020-06-27,-56,-56%
718,2020-06-26,-51,-51%
719,2020-06-25,-53,-53%
720,2020-06-24,-57,-57%
721,2020-06-23,-54,-54%
722,2020-06-22,-55,-55%
723,2020-06-21,-56,-56%
724,2020-06-20,-60,-60%
725,2020-06-19,-61,-61%
726,2020-06-18,-62,-62%
727,2020-06-17,-63,-63%
728,2020-06-16,-60,-60%
729,2020-06-15,-60,-60%
730,2020-06-14,-58,-58%
731,2020-06-13,-62,-62%
732,2020-06-12,-62,-62%
733,2020-06-11,-65,-65%
734,2020-06-10,-63,-63%
735,2020-06-09,-60,-60%
736,2020-06-08,-60,-60%
737,2020-06-07,-60,-60%
738,2020-06-06,-66,-66%
739,2020-06-05,-68,-68%
740,2020-06-04,-64,-64%
741,2020-06-03,-67,-67%
742,2020-06-02,-64,-64%
743,2020-06-01,-60,-60%
744,2020-05-31,-64,-64%
745,2020-05-30,-66,-66%
746,2020-05-29,-69,-69%
747,2020-05-28,-67,-67%
748,2020-05-27,-67,-67%
749,2020-05-26,-65,-65%
750,2020-05-25,-69,-69%
751,2020-05-24,-68,-68%
752,2020-05-23,-74,-74%
753,2020-05-22,-70,-70%
754,2020-05-21,-69,-69%
755,2020-05-20,-70,-70%
756,2020-05-19,-69,-69%
757,2020-05-18,-67,-67%
758,2020-05-17,-68,-68%
759,2020-05-16,-71,-71%
760,2020-05-15,-71,-71%
761,2020-05-14,-72,-72%
762,2020-05-13,-72,-72%
763,2020-05-12,-72,-72%
764,2020-05-11,-71,-71%
765,2020-05-10,-68,-68%
766,2020-05-09,-75,-75%
767,2020-05-08,-74,-74%
768,2020-05-07,-73,-73%
769,2020-05-06,-73,-73%
770,2020-05-05,-72,-72%
771,2020-05-04,-69,-69%
772,2020-05-03,-66,-66%
773,2020-05-02,-73,-73%
774,2020-05-01,-72,-72%
775,2020-04-30,-74,-74%
776,2020-04-29,-73,-73%
777,2020-04-28,-72,-72%
778,2020-04-27,-71,-71%
779,2020-04-26,-72,-72%
780,2020-04-25,-73,-73%
781,2020-04-24,-74,-74%
782,2020-04-23,-74,-74%
783,2020-04-22,-74,-74%
784,2020-04-21,-75,-75%
785,2020-04-20,-71,-71%
786,2020-04-19,-71,-71%
787,2020-04-18,-75,-75%
788,2020-04-17,-72,-72%
789,2020-04-16,-73,-73%
790,2020-04-15,-74,-74%
791,2020-04-14,-73,-73%
792,2020-04-13,-74,-74%
793,2020-04-12,-70,-70%
794,2020-04-11,-73,-73%
795,2020-04-10,-73,-73%
796,2020-04-09,-74,-74%
797,2020-04-08,-74,-74%
798,2020-04-07,-74,-74%
799,2020-04-06,-72,-72%
800,2020-04-05,-69,-69%
801,2020-04-04,-74,-74%
802,2020-04-03,-73,-73%
803,2020-04-02,-73,-73%
804,2020-04-01,-70,-70%
805,2020-03-31,-71,-71%
806,2020-03-30,-69,-69%
807,2020-03-29,-67,-67%
808,2020-03-28,-72,-72%
809,2020-03-27,-70,-70%
810,2020-03-26,-72,-72%
811,2020-03-25,-73,-73%
812,2020-03-24,-69,-69%
813,2020-03-23,-73,-73%
814,2020-03-22,-64,-64%
815,2020-03-21,-65,-65%
816,2020-03-20,-65,-65%
817,2020-03-19,-62,-62%
818,2020-03-18,-59,-59%
819,2020-03-17,-57,-57%
820,2020-03-16,-49,-49%
821,2020-03-15,-31,-31%
822,2020-03-14,-32,-32%
823,2020-03-13,-27,-27%
824,2020-03-12,-20,-20%
825,2020-03-11,-12,-12%
826,2020-03-10,-9,-9%
827,2020-03-09,5,5%
828,2020-03-08,-4,-4%
829,2020-03-07,-1,-1%
830,2020-03-06,-2,-2%
831,2020-03-05,-2,-2%
832,2020-03-04,0,0%
833,2020-03-03,-1,-1%
834,2020-03-02,6,6%
835,2020-03-01,0,0%
836,2020-02-29,0,0%
837,2020-02-28,4,4%
838,2020-02-27,4,4%
839,2020-02-26,5,5%
840,2020-02-25,3,3%
841,2020-02-24,13,13%
842,2020-02-23,0,0%
843,2020-02-22,-2,-2%
844,2020-02-21,-9,-9%
845,2020-02-20,-6,-6%
846,2020-02-19,-3,-3%
847,2020-02-18,-6,-6%
848,2020-02-17,-8,-8%
849,2020-02-16,-1,-1%
850,2020-02-15,-6,-6%
